source,target,year,cmd_code,trade_value_usd,trade_qty_kg,share_of_reporter_total,distance_km,estimated_tariff_pct,tariff_methodology,is_placeholder_estimate
Algeria,Netherlands,2024,2709,2091.0,3418.307,0.3758087706685837,2696.5801928343235,0.06,importer_default_lower_middle_income,True
Algeria,Niger,2024,2709,1519.0,2483.218,0.2730050323508267,1332.4333065054325,0.06,importer_default_lower_middle_income,True
Algeria,China,2024,2709,1246.0,2036.925,0.223939611790079,9240.71750464629,0.06,importer_default_lower_middle_income,True
Algeria,Ireland,2024,2709,708.0,1157.418,0.1272465851905104,2895.7856699318613,0.06,importer_default_lower_middle_income,True
Angola,United Kingdom,2024,2709,7143.92,186.0,0.5047037446272187,7665.748767573218,0.06,importer_default_lower_middle_income,True
Angola,USA,2024,2709,5278.21,0.0,0.3728950424877143,12841.299525381752,0.06,importer_default_lower_middle_income,True
Angola,Portugal,2024,2709,1547.89,3437.833,0.1093553510217115,6240.618462641177,0.06,importer_default_lower_middle_income,True
Angola,Canada,2024,2709,184.66,0.0,0.0130458618633554,13115.861240530365,0.06,importer_default_lower_middle_income,True
Antigua and Barbuda,USA,2024,2709,1189.848,219.919,1.0,3994.907324345166,0.02,importer_default_high_income,True
Armenia,Russian Federation,2024,2709,285128.68,421910.0,1.0,4636.0485505741935,0.04,importer_default_upper_middle_income,True
Australia,Malaysia,2024,2709,2093278243.954,3565828100.0,0.389190916795051,4746.097563385465,0.02,importer_default_high_income,True
Australia,USA,2024,2709,891684188.573,1565156399.46,0.1657855986631097,15184.48588708674,0.02,importer_default_high_income,True
Australia,Viet Nam,2024,2709,616834535.763,1027016300.0,0.1146844186518603,5173.3153293483965,0.02,importer_default_high_income,True
Australia,Brunei Darussalam,2024,2709,592901784.294,963702000.0,0.1102347428801129,3900.9841030970065,0.02,importer_default_high_income,True
Australia,United Arab Emirates,2024,2709,314948624.672,536457000.0,0.0585565460938931,10164.332596049622,0.02,importer_default_high_income,True
