country,total_import_value_usd,total_import_qty_kg,n_partners,n_reporters_sourcing_from,total_named_as_source_value_usd,is_reporter,is_partner_only
China,325186599333.0,553231901236.0,45.0,20.0,70521004.23900001,True,False
USA,174423623898.0,375657066222.0,30.0,55.0,119482589555.597,True,False
India,141532322252.516,241750225067.0,32.0,13.0,93086053.98200001,True,False
Rep. of Korea,85334419380.0,137180040598.918,34.0,4.0,57022057.978999995,True,False
Japan,71811869887.915,114958618700.0,14.0,10.0,63338844.377000004,True,False
Netherlands,49020328699.673,79217946252.0,65.0,17.0,21581471520.942,True,False
Germany,46904080350.831,78536955115.0,33.0,17.0,133964549.907,True,False
Spain,36623430237.102,64431405373.144,35.0,17.0,101129205.723,True,False
Italy,33567611094.439,54544851259.0,36.0,14.0,472739011.31100005,True,False
Thailand,33495252021.0,177761799264.0,29.0,7.0,577324595.37,True,False
United Kingdom,30768618161.552,49583206989.0,20.0,29.0,16427313850.369,True,False
France,29685193775.096,47020133246.088,37.0,16.0,306251694.629,True,False
Singapore,27245983555.963,43505195476.289,42.0,10.0,163790606.98200002,True,False
Taiwan,23874236648.498,45330130000.0,9.0,2.0,1429.275,True,False
Belgium,21915213579.724,33867280155.76,40.0,8.0,911747944.24,True,False
Poland,15192763299.0,24977062651.0,11.0,8.0,86930838.242,True,False
Canada,15154800354.109001,24774635123.581,27.0,20.0,112366329144.436,True,False
Greece,14772480141.183,24648235164.0,15.0,3.0,93592387.069,True,False
Malaysia,13880443833.261,22122672638.0,26.0,14.0,45876689569.085,True,False
Sweden,11262589794.7,17740083875.368,15.0,2.0,55430553.625,True,False
Indonesia,10352976047.0,16856183255.0,23.0,10.0,2764196913.108,True,False
Brazil,8943296861.0,13947911344.188,22.0,24.0,50605704974.165,True,False
Israel,7038699000.0,11504612339.22,1.0,7.0,357368332.34599996,True,False
Portugal,6414373194.54,10687361791.0,11.0,6.0,30719915.740000002,True,False
Pakistan,5608000766.516,9748245000.0,5.0,4.0,187930565.363,True,False
Lithuania,5465581486.0,8804712780.0,6.0,1.0,3.481,True,False
Australia,5378538279.341,9201576099.46,14.0,13.0,6307468788.218,True,False
Finland,5276117698.431,8623708554.171999,6.0,2.0,1189245.7989999999,True,False
South Africa,5170738931.285,8181527087.0,11.0,11.0,34677943.276,True,False
Chile,5152073233.35,8895067611.812,4.0,2.0,94.177,True,False
Romania,4972493450.110001,7164998960.0,13.0,1.0,4908664.0,True,False
Austria,4824818484.738,7668799862.0,16.0,5.0,3308925.9319999996,True,False
Brunei Darussalam,4127827724.246,6485171500.0,12.0,8.0,2120449592.975,True,False
Oman,4054910225.1219997,3101412850.0,8.0,11.0,28949951151.301,True,False
Bulgaria,4035630939.916,6630028418.0,12.0,,,True,False
Czechia,4029827381.0,6502938610.91,12.0,3.0,44719.032999999996,True,False
Peru,3925408300.77,6470716805.4,12.0,7.0,75837177.96,True,False
Philippines,3710128605.0,6483423194.0,8.0,5.0,196727564.865,True,False
Hungary,2928770413.59,5582354269.0,7.0,3.0,3261448.244,True,False
Denmark,2842081552.7850003,4436888885.0,10.0,7.0,755642863.3659999,True,False
Slovakia,2528141500.176,4825703473.208,13.0,1.0,670667.828,True,False
