source,target,estimated_tariff_pct,tariff_methodology,is_placeholder_estimate
Algeria,Netherlands,0.06,importer_default_lower_middle_income,True
Algeria,Niger,0.06,importer_default_lower_middle_income,True
Algeria,China,0.06,importer_default_lower_middle_income,True
Algeria,Ireland,0.06,importer_default_lower_middle_income,True
Angola,United Kingdom,0.06,importer_default_lower_middle_income,True
Angola,USA,0.06,importer_default_lower_middle_income,True
Angola,Portugal,0.06,importer_default_lower_middle_income,True
Angola,Canada,0.06,importer_default_lower_middle_income,True
Antigua and Barbuda,USA,0.02,importer_default_high_income,True
Armenia,Russian Federation,0.04,importer_default_upper_middle_income,True
Australia,Malaysia,0.02,importer_default_high_income,True
Australia,USA,0.02,importer_default_high_income,True
Australia,Viet Nam,0.02,importer_default_high_income,True
Australia,Brunei Darussalam,0.02,importer_default_high_income,True
Australia,United Arab Emirates,0.02,importer_default_high_income,True
Australia,New Zealand,0.02,importer_default_high_income,True
Australia,Nigeria,0.02,importer_default_high_income,True
Australia,Libya,0.02,importer_default_high_income,True
Australia,Indonesia,0.02,importer_default_high_income,True
Australia,Algeria,0.02,importer_default_high_income,True
Australia,Brazil,0.02,importer_default_high_income,True
Australia,Liberia,0.02,importer_default_high_income,True
Australia,Argentina,0.02,importer_default_high_income,True
Australia,Azerbaijan,0.02,importer_default_high_income,True
Austria,Kazakhstan,0.02,importer_default_high_income,True
Austria,Libya,0.02,importer_default_high_income,True
Austria,Saudi Arabia,0.02,importer_default_high_income,True
Austria,Azerbaijan,0.02,importer_default_high_income,True
Austria,Guyana,0.02,importer_default_high_income,True
Austria,Iraq,0.02,importer_default_high_income,True
Austria,Algeria,0.02,importer_default_high_income,True
Austria,Norway,0.02,importer_default_high_income,True
Austria,USA,0.02,importer_default_high_income,True
Austria,Tunisia,0.02,importer_default_high_income,True
Austria,Israel,0.02,importer_default_high_income,True
Austria,Ghana,0.02,importer_default_high_income,True
Austria,Brazil,0.02,importer_default_high_income,True
Austria,Germany,0.0,eu_eea_uk_ch_zone,True
Austria,France,0.0,eu_eea_uk_ch_zone,True
Austria,Slovakia,0.0,eu_eea_uk_ch_zone,True
Azerbaijan,Russian Federation,0.04,importer_default_upper_middle_income,True
Azerbaijan,Turkmenistan,0.04,importer_default_upper_middle_income,True
Azerbaijan,Kazakhstan,0.04,importer_default_upper_middle_income,True
Bahamas,USA,0.02,importer_default_high_income,True
Bahamas,Netherlands,0.02,importer_default_high_income,True
Bahrain,Kuwait,0.02,importer_default_high_income,True
Belgium,Netherlands,0.0,eu_eea_uk_ch_zone,True
Belgium,United Kingdom,0.0,eu_eea_uk_ch_zone,True
Belgium,USA,0.02,importer_default_high_income,True
Belgium,France,0.0,eu_eea_uk_ch_zone,True
Belgium,Trinidad and Tobago,0.02,importer_default_high_income,True
Belgium,Nigeria,0.02,importer_default_high_income,True
Belgium,Algeria,0.02,importer_default_high_income,True
Belgium,Norway,0.02,importer_default_high_income,True
Belgium,Germany,0.0,eu_eea_uk_ch_zone,True
Belgium,Czechia,0.0,eu_eea_uk_ch_zone,True
Belgium,Spain,0.0,eu_eea_uk_ch_zone,True
Belgium,United Arab Emirates,0.02,importer_default_high_income,True
Belgium,Gabon,0.02,importer_default_high_income,True
Belgium,Bahrain,0.02,importer_default_high_income,True
Belgium,El Salvador,0.02,importer_default_high_income,True
Belgium,Angola,0.02,importer_default_high_income,True
Belgium,Japan,0.02,importer_default_high_income,True
Belgium,Oman,0.02,importer_default_high_income,True
Belgium,Côte d'Ivoire,0.02,importer_default_high_income,True
Belgium,Uruguay,0.02,importer_default_high_income,True
Belgium,Canada,0.02,importer_default_high_income,True
Belgium,Viet Nam,0.02,importer_default_high_income,True
Belgium,Chile,0.02,importer_default_high_income,True
Belgium,Peru,0.02,importer_default_high_income,True
Belgium,Israel,0.02,importer_default_high_income,True
Belgium,Türkiye,0.02,importer_default_high_income,True
Belgium,India,0.02,importer_default_high_income,True
Belgium,China,0.02,importer_default_high_income,True
Belgium,New Caledonia,0.02,importer_default_high_income,True
Belgium,Azerbaijan,0.02,importer_default_high_income,True
Belgium,Namibia,0.02,importer_default_high_income,True
Belgium,Papua New Guinea,0.02,importer_default_high_income,True
Belgium,Brazil,0.02,importer_default_high_income,True
Belgium,Madagascar,0.02,importer_default_high_income,True
Belgium,Indonesia,0.02,importer_default_high_income,True
Belgium,Cameroon,0.02,importer_default_high_income,True
Belgium,Thailand,0.02,importer_default_high_income,True
Belgium,Libya,0.02,importer_default_high_income,True
Belgium,Singapore,0.02,importer_default_high_income,True
Belgium,Mauritius,0.02,importer_default_high_income,True
Belize,Guatemala,0.04,importer_default_upper_middle_income,True
Bolivia (Plurinational State of),Argentina,0.06,importer_default_lower_middle_income,True
Bolivia (Plurinational State of),Br. Virgin Isds,0.06,importer_default_lower_middle_income,True
Bolivia (Plurinational State of),Peru,0.06,importer_default_lower_middle_income,True
Bolivia (Plurinational State of),Paraguay,0.06,importer_default_lower_middle_income,True
Brazil,Saudi Arabia,0.04,importer_default_upper_middle_income,True
Brazil,USA,0.04,importer_default_upper_middle_income,True
Brazil,Angola,0.04,importer_default_upper_middle_income,True
Brazil,Guyana,0.04,importer_default_upper_middle_income,True
Brazil,Algeria,0.04,importer_default_upper_middle_income,True
Brazil,Gabon,0.04,importer_default_upper_middle_income,True
Brazil,Argentina,0.04,importer_default_upper_middle_income,True
Brazil,Ghana,0.04,importer_default_upper_middle_income,True
Brazil,Nigeria,0.04,importer_default_upper_middle_income,True
Brazil,France,0.04,importer_default_upper_middle_income,True
Brazil,Côte d'Ivoire,0.04,importer_default_upper_middle_income,True
Brazil,Congo,0.04,importer_default_upper_middle_income,True
Brazil,United Kingdom,0.04,importer_default_upper_middle_income,True
Brazil,Russian Federation,0.04,importer_default_upper_middle_income,True
Brazil,Dem. Rep. of the Congo,0.04,importer_default_upper_middle_income,True
Brazil,Malta,0.04,importer_default_upper_middle_income,True
Brazil,Netherlands,0.04,importer_default_upper_middle_income,True
Brazil,Peru,0.04,importer_default_upper_middle_income,True
Brazil,South Africa,0.04,importer_default_upper_middle_income,True
Brazil,Bolivia (Plurinational State of),0.04,importer_default_upper_middle_income,True
Brazil,Japan,0.04,importer_default_upper_middle_income,True
Brazil,Switzerland,0.04,importer_default_upper_middle_income,True
Brunei Darussalam,Malaysia,0.02,importer_default_high_income,True
Brunei Darussalam,Russian Federation,0.02,importer_default_high_income,True
Brunei Darussalam,Australia,0.02,importer_default_high_income,True
Brunei Darussalam,United Arab Emirates,0.02,importer_default_high_income,True
Brunei Darussalam,Saudi Arabia,0.02,importer_default_high_income,True
Brunei Darussalam,Viet Nam,0.02,importer_default_high_income,True
Brunei Darussalam,Indonesia,0.02,importer_default_high_income,True
Brunei Darussalam,Philippines,0.02,importer_default_high_income,True
Brunei Darussalam,Pakistan,0.02,importer_default_high_income,True
Brunei Darussalam,Canada,0.02,importer_default_high_income,True
Brunei Darussalam,Thailand,0.02,importer_default_high_income,True
Brunei Darussalam,Colombia,0.02,importer_default_high_income,True
Bulgaria,Kazakhstan,0.02,importer_default_high_income,True
Bulgaria,Iraq,0.02,importer_default_high_income,True
Bulgaria,Saudi Arabia,0.02,importer_default_high_income,True
Bulgaria,Norway,0.02,importer_default_high_income,True
Bulgaria,Libya,0.02,importer_default_high_income,True
Bulgaria,Guyana,0.02,importer_default_high_income,True
Bulgaria,Egypt,0.02,importer_default_high_income,True
Bulgaria,Azerbaijan,0.02,importer_default_high_income,True
Bulgaria,Ghana,0.02,importer_default_high_income,True
Bulgaria,Tunisia,0.02,importer_default_high_income,True
Bulgaria,Italy,0.0,eu_eea_uk_ch_zone,True
Bulgaria,Türkiye,0.02,importer_default_high_income,True
Burkina Faso,United Arab Emirates,0.08,importer_default_low_income,True
Cabo Verde,Portugal,0.06,importer_default_lower_middle_income,True
Cambodia,France,0.06,importer_default_lower_middle_income,True
Canada,USA,0.0,bilateral_fta_bloc,True
Canada,Nigeria,0.02,importer_default_high_income,True
Canada,Saudi Arabia,0.02,importer_default_high_income,True
Canada,Ecuador,0.02,importer_default_high_income,True
Canada,Côte d'Ivoire,0.02,importer_default_high_income,True
Canada,Mexico,0.02,importer_default_high_income,True
Canada,Colombia,0.02,importer_default_high_income,True
Canada,Guyana,0.02,importer_default_high_income,True
Canada,Poland,0.02,importer_default_high_income,True
Canada,Oman,0.02,importer_default_high_income,True
Canada,Japan,0.02,importer_default_high_income,True
Canada,United Arab Emirates,0.02,importer_default_high_income,True
Canada,Qatar,0.02,importer_default_high_income,True
Canada,Italy,0.02,importer_default_high_income,True
Canada,Germany,0.02,importer_default_high_income,True
Canada,China,0.02,importer_default_high_income,True
Canada,Türkiye,0.02,importer_default_high_income,True
Canada,United Kingdom,0.02,importer_default_high_income,True
Canada,Australia,0.02,importer_default_high_income,True
Canada,Finland,0.02,importer_default_high_income,True
Canada,Cuba,0.02,importer_default_high_income,True
Canada,Ireland,0.02,importer_default_high_income,True
Canada,Netherlands,0.02,importer_default_high_income,True
Canada,Thailand,0.02,importer_default_high_income,True
Canada,Grenada,0.02,importer_default_high_income,True
Canada,Spain,0.02,importer_default_high_income,True
Canada,India,0.02,importer_default_high_income,True
Central African Rep.,United Arab Emirates,0.08,importer_default_low_income,True
Chile,Brazil,0.02,importer_default_high_income,True
Chile,Argentina,0.02,importer_default_high_income,True
Chile,Ecuador,0.02,importer_default_high_income,True
Chile,USA,0.02,importer_default_high_income,True
China,Russian Federation,0.04,importer_default_upper_middle_income,True
China,Saudi Arabia,0.04,importer_default_upper_middle_income,True
China,Malaysia,0.04,importer_default_upper_middle_income,True
China,Iraq,0.04,importer_default_upper_middle_income,True
China,Oman,0.04,importer_default_upper_middle_income,True
China,United Arab Emirates,0.04,importer_default_upper_middle_income,True
